"YEAR","FEMALE_ID","J_CID"
2010,104,26
2010,7552,27
2010,169,28
2010,5005,28
2010,539,30
2010,568,30
2010,5020,31
2010,587,31
2010,67,31
2010,161,34
2010,107,34
2010,505,35
2010,7562,35
2010,NA,35
2010,193,35
2010,7566,35
2010,7511,36
2010,156,37
2010,516,37
2010,181,38
2010,136,38
2010,7517,41
2010,19,42
2010,517,42
2010,599,45
2010,549,45
2010,13,49
2010,7531,49
2011,156,23
2011,600,26
2011,5005,29
2011,539,29
2011,129,30
2011,5020,32
2011,7552,32
2011,19,32
2011,587,33
2011,7566,34
2011,161,34
2011,107,34
2011,597,35
2011,172,36
2011,193,36
2011,104,37
2011,181,37
2011,136,39
2011,7562,39
2011,505,39
2011,599,39
2011,517,40
2011,549,42
2011,7531,43
2011,568,44
2011,204,49
2011,209,51
2011,516,52
2011,592,72
2012,156,25
2012,5005,28
2012,7552,28
2012,193,30
2012,161,32
2012,172,32
2012,181,34
2012,209,34
2012,516,34
2012,521,35
2012,13,35
2012,587,35
2012,107,36
2012,505,36
2012,104,37
2012,7566,38
2012,517,38
2012,136,38
2012,618,38
2012,539,38
2012,625,39
2012,5020,41
2012,600,45
2012,599,45
2012,597,45
2012,19,48
2012,630,53
2012,549,54
2012,592,53
2013,539,27
2013,107,28
2013,209,29
2013,7531,29
2013,7552,30
2013,5005,30
2013,618,29
2013,193,31
2013,630,31
2013,625,31
2013,13,31
2013,521,32
2013,7566,33
2013,516,33
2013,161,34
2013,517,34
2013,587,35
2013,136,35
2013,181,35
2013,505,36
2013,104,36
2013,600,37
2013,156,38
2013,597,38
2013,599,38
2013,5020,38
2013,19,38
2013,592,41
2013,632,42
2013,7562,42
2013,591,46
2013,NA,48
2013,568,51
2014,597,29
2014,5005,29
2014,209,30
2014,136,31
2014,539,31
2014,625,32
2014,13,32
2014,172,32
2014,7552,33
2014,19,35
2014,7566,35
2014,618,35
2014,630,35
2014,599,37
2014,541,37
2014,587,37
2014,521,38
2014,7562,38
2014,104,38
2014,505,39
2014,7531,40
2014,624,40
2014,632,40
2014,193,40
2014,5020,42
2014,549,43
2014,107,46
2014,NA,58
2014,NA,58
2014,NA,60
2015,5005,25
2015,209,28
2015,539,28
2015,618,28
2015,521,29
2015,193,31
2015,592,31
2015,104,31
2015,587,31
2015,172,32
2015,136,32
2015,624,33
2015,621,33
2015,505,33
2015,173,33
2015,5020,33
2015,7552,34
2015,7566,34
2015,156,35
2015,597,36
2015,630,36
2015,599,39
2015,625,39
2015,107,39
2015,7562,43
2015,549,43
2015,7531,44
2015,13,50
2015,516,72
